,Sample,Baking temperature (Â°C),Baking time (hours),Resistive switching film,Bottom electrode material,Top electrode material,Reset voltage
0,Sample_1,140.0,2.0,0,0,2,-3.52
1,Sample_1,140.0,2.0,0,0,2,-2.75
2,Sample_1,140.0,2.0,0,0,2,-2.45
3,Sample_1,140.0,2.0,0,0,2,-2.3
4,Sample_1,140.0,2.0,0,0,2,-2.67
5,Sample_1,140.0,2.0,0,0,2,-2.6
6,Sample_1,140.0,2.0,0,0,2,-0.075
7,Sample_1,140.0,2.0,0,0,2,-1.5
8,Sample_1,140.0,2.0,0,0,2,-0.7
9,Sample_1,140.0,2.0,0,0,2,-0.725
10,Sample_1,140.0,2.0,0,0,2,-0.125
11,Sample_1,140.0,2.0,0,0,2,-2.8
12,Sample_1,140.0,2.0,0,0,2,-2.05
13,Sample_1,140.0,2.0,0,0,2,-3.175
14,Sample_1,140.0,2.0,0,0,2,-3.05
15,Sample_1,140.0,2.0,0,0,2,-0.1
16,Sample_1,140.0,2.0,0,0,2,-1.4
17,Sample_1,140.0,2.0,0,0,2,-1.63
18,Sample_1,140.0,2.0,0,0,2,-2.47
19,Sample_1,140.0,2.0,0,0,2,-1.6
20,Sample_1,140.0,2.0,0,0,2,-1.2
21,Sample_1,140.0,2.0,0,0,2,-2.8
22,Sample_1,140.0,2.0,0,0,2,-4.725
23,Sample_1,140.0,2.0,0,0,2,-2.0
24,Sample_1,140.0,2.0,0,0,2,-0.15
25,Sample_1,140.0,2.0,0,0,2,-0.475
26,Sample_1,140.0,2.0,0,0,2,-2.93
27,Sample_1,140.0,2.0,0,0,2,-3.02
28,Sample_1,140.0,2.0,0,0,2,-4.5
29,Sample_1,140.0,2.0,0,0,2,-3.15
30,Sample_1,140.0,2.0,0,0,2,-2.1
31,Sample_1,140.0,2.0,0,0,2,-0.35
32,Sample_1,140.0,2.0,0,0,2,-1.4
33,Sample_1,140.0,2.0,0,0,2,-3.17
34,Sample_1,140.0,2.0,0,0,2,-6.67
35,Sample_1,140.0,2.0,0,0,2,-2.6
36,Sample_1,140.0,2.0,0,0,2,-0.05
37,Sample_1,140.0,2.0,0,0,2,-2.05
38,Sample_1,140.0,2.0,0,0,2,-0.2
39,Sample_1,140.0,2.0,0,0,2,-1.03
40,Sample_1,140.0,2.0,0,0,2,-2.05
41,Sample_1,140.0,2.0,0,0,2,-0.4
42,Sample_1,140.0,2.0,0,0,2,-3.53
43,Sample_1,140.0,2.0,0,0,2,-1.98
44,Sample_1,140.0,2.0,0,0,2,-0.975
45,Sample_1,140.0,2.0,0,0,2,-2.2
46,Sample_1,140.0,2.0,0,0,2,-1.67
47,Sample_1,140.0,2.0,0,0,2,-1.1
48,Sample_1,140.0,2.0,0,0,2,-1.25
49,Sample_1,140.0,2.0,0,0,2,-0.925
50,Sample_1,140.0,2.0,0,0,2,-3.0
51,Sample_1,140.0,2.0,0,0,2,-2.4
52,Sample_1,140.0,2.0,0,0,2,-2.6
53,Sample_1,140.0,2.0,0,0,2,-2.1
54,Sample_1,140.0,2.0,0,0,2,-2.0
55,Sample_1,140.0,2.0,0,0,2,-1.1
56,Sample_1,140.0,2.0,0,0,2,-2.8
57,Sample_1,140.0,2.0,0,0,2,-0.625
58,Sample_1,140.0,2.0,0,0,2,-6.72
59,Sample_1,140.0,2.0,0,0,2,-0.85
60,Sample_1,140.0,2.0,0,0,2,-0.8
61,Sample_1,140.0,2.0,0,0,2,-2.85
62,Sample_1,140.0,2.0,0,0,2,-1.72
63,Sample_1,140.0,2.0,0,0,2,-8.27
64,Sample_1,140.0,2.0,0,0,2,-1.77
65,Sample_1,140.0,2.0,0,0,2,-4.7
66,Sample_1,140.0,2.0,0,0,2,-5.65
67,Sample_1,140.0,2.0,0,0,2,-2.375
68,Sample_1,140.0,2.0,0,0,2,-3.05
69,Sample_1,140.0,2.0,0,0,2,-0.075
70,Sample_1,140.0,2.0,0,0,2,-3.525
71,Sample_1,140.0,2.0,0,0,2,-0.2
72,Sample_1,140.0,2.0,0,0,2,-0.875
73,Sample_1,140.0,2.0,0,0,2,-0.625
74,Sample_1,140.0,2.0,0,0,2,-0.85
75,Sample_1,140.0,2.0,0,0,2,-6.25
76,Sample_1,140.0,2.0,0,0,2,-1.2
77,Sample_1,140.0,2.0,0,0,2,-2.18
78,Sample_1,140.0,2.0,0,0,2,-4.5
79,Sample_1,140.0,2.0,0,0,2,-2.975
80,Sample_1,140.0,2.0,0,0,2,-2.475
81,Sample_1,140.0,2.0,0,0,2,-2.525
82,Sample_1,140.0,2.0,0,0,2,-2.45
83,Sample_1,140.0,2.0,0,0,2,-0.575
84,Sample_1,140.0,2.0,0,0,2,-0.825
85,Sample_1,140.0,2.0,0,0,2,-0.75
86,Sample_1,140.0,2.0,0,0,2,-1.1
88,Sample_1,140.0,2.0,0,0,2,-2.35
89,Sample_1,140.0,2.0,0,0,2,-2.17
90,Sample_1,140.0,2.0,0,0,2,-2.27
91,Sample_1,140.0,2.0,0,0,2,-2.25
92,Sample_1,140.0,2.0,0,0,2,-5.82
93,Sample_1,140.0,2.0,0,0,2,-0.5
94,Sample_1,140.0,2.0,0,0,2,-0.1
95,Sample_1,140.0,2.0,0,0,2,-0.975
96,Sample_1,140.0,2.0,0,0,2,-2.22
97,Sample_1,140.0,2.0,0,0,2,-2.35
98,Sample_1,140.0,2.0,0,0,2,-2.42
99,Sample_1,140.0,2.0,0,0,2,-0.35
100,Sample_1,140.0,2.0,0,0,2,-0.55
101,Sample_1,140.0,2.0,0,0,2,-0.725
102,Sample_1,140.0,2.0,0,0,2,-0.575
103,Sample_1,140.0,2.0,0,0,2,-2.25
104,Sample_1,140.0,2.0,0,0,2,-2.27
105,Sample_1,140.0,2.0,0,0,2,-2.25
106,Sample_1,140.0,2.0,0,0,2,-1.17
107,Sample_1,140.0,2.0,0,0,2,-1.67
108,Sample_1,140.0,2.0,0,0,2,-1.37
109,Sample_1,140.0,2.0,0,0,2,-1.75
110,Sample_1,140.0,2.0,0,0,2,-1.77
111,Sample_1,140.0,2.0,0,0,2,-2.87
112,Sample_1,140.0,2.0,0,0,2,-2.0
113,Sample_1,140.0,2.0,0,0,2,-1.47
114,Sample_1,140.0,2.0,0,0,2,-1.55
115,Sample_1,140.0,2.0,0,0,2,-1.0
116,Sample_1,140.0,2.0,0,0,2,-0.525
117,Sample_1,140.0,2.0,0,0,2,-1.75
118,Sample_1,140.0,2.0,0,0,2,-1.625
119,Sample_1,140.0,2.0,0,0,2,-1.6
120,Sample_1,140.0,2.0,0,0,2,-0.675
121,Sample_1,140.0,2.0,0,0,2,-2.05
122,Sample_1,140.0,2.0,0,0,2,2.15
123,Sample_1,140.0,2.0,0,0,2,-0.375
124,Sample_1,140.0,2.0,0,0,2,-0.625
125,Sample_1,140.0,2.0,0,0,2,-2.325
126,Sample_1,140.0,2.0,0,0,2,-0.575
127,Sample_1,140.0,2.0,0,0,2,-1.77
128,Sample_1,140.0,2.0,0,0,2,-0.475
129,Sample_1,140.0,2.0,0,0,2,-2.25
130,Sample_1,140.0,2.0,0,0,2,-2.17
131,Sample_1,140.0,2.0,0,0,2,-1.2
132,Sample_1,140.0,2.0,0,0,2,-1.225
133,Sample_1,140.0,2.0,0,0,2,-2.47
134,Sample_1,140.0,2.0,0,0,2,-1.275
135,Sample_1,140.0,2.0,0,0,2,-0.1
136,Sample_1,140.0,2.0,0,0,2,-5.62
137,Sample_1,140.0,2.0,0,0,2,-6.0
138,Sample_1,140.0,2.0,0,0,2,-0.75
139,Sample_1,140.0,2.0,0,0,2,-1.85
140,Sample_1,140.0,2.0,0,0,2,-0.475
141,Sample_1,140.0,2.0,0,0,2,-4.25
142,Sample_1,140.0,2.0,0,0,2,-1.95
143,Sample_1,140.0,2.0,0,0,2,-1.15
144,Sample_1,140.0,2.0,0,0,2,-8.57
145,Sample_1,140.0,2.0,0,0,2,-4.12
146,Sample_1,140.0,2.0,0,0,2,-4.85
222,Sample_2,140.0,4.0,0,0,2,-2.4
223,Sample_2,140.0,4.0,0,0,2,-4.9
224,Sample_2,140.0,4.0,0,0,2,-1.9
225,Sample_2,140.0,4.0,0,0,2,-1.2
226,Sample_2,140.0,4.0,0,0,2,-0.6
227,Sample_2,140.0,4.0,0,0,2,-3.0
228,Sample_2,140.0,4.0,0,0,2,-2.95
229,Sample_2,140.0,4.0,0,0,2,-1.82
230,Sample_2,140.0,4.0,0,0,2,-1.42
231,Sample_2,140.0,4.0,0,0,2,-2.05
232,Sample_2,140.0,4.0,0,0,2,-1.65
233,Sample_2,140.0,4.0,0,0,2,-2.0
234,Sample_2,140.0,4.0,0,0,2,-1.875
235,Sample_2,140.0,4.0,0,0,2,-0.15
236,Sample_2,140.0,4.0,0,0,2,-2.35
237,Sample_2,140.0,4.0,0,0,2,-0.825
238,Sample_2,140.0,4.0,0,0,2,-2.0
239,Sample_2,140.0,4.0,0,0,2,-1.35
240,Sample_2,140.0,4.0,0,0,2,-1.15
241,Sample_2,140.0,4.0,0,0,2,-1.27
242,Sample_2,140.0,4.0,0,0,2,-1.4
243,Sample_2,140.0,4.0,0,0,2,-1.87
244,Sample_2,140.0,4.0,0,0,2,-0.475
245,Sample_2,140.0,4.0,0,0,2,-1.85
246,Sample_2,140.0,4.0,0,0,2,-3.3
247,Sample_2,140.0,4.0,0,0,2,-2.45
248,Sample_2,140.0,4.0,0,0,2,-5.1
249,Sample_2,140.0,4.0,0,0,2,-3.07
250,Sample_2,140.0,4.0,0,0,2,-0.35
251,Sample_2,140.0,4.0,0,0,2,-6.7
252,Sample_2,140.0,4.0,0,0,2,-2.1
253,Sample_2,140.0,4.0,0,0,2,-1.2
254,Sample_2,140.0,4.0,0,0,2,-0.625
255,Sample_2,140.0,4.0,0,0,2,-0.425
256,Sample_2,140.0,4.0,0,0,2,-0.15
257,Sample_2,140.0,4.0,0,0,2,-5.47
258,Sample_2,140.0,4.0,0,0,2,-1.47
259,Sample_2,140.0,4.0,0,0,2,-1.75
260,Sample_2,140.0,4.0,0,0,2,-0.1
261,Sample_2,140.0,4.0,0,0,2,-6.47
262,Sample_2,140.0,4.0,0,0,2,-1.22
263,Sample_2,140.0,4.0,0,0,2,-0.45
264,Sample_2,140.0,4.0,0,0,2,-2.07
265,Sample_2,140.0,4.0,0,0,2,-0.125
266,Sample_2,140.0,4.0,0,0,2,-2.42
267,Sample_2,140.0,4.0,0,0,2,-0.575
268,Sample_2,140.0,4.0,0,0,2,-1.12
269,Sample_2,140.0,4.0,0,0,2,-1.45
270,Sample_2,140.0,4.0,0,0,2,-0.95
271,Sample_2,140.0,4.0,0,0,2,-1.62
272,Sample_2,140.0,4.0,0,0,2,-2.72
273,Sample_2,140.0,4.0,0,0,2,-0.4
274,Sample_2,140.0,4.0,0,0,2,-2.72
275,Sample_2,140.0,4.0,0,0,2,-1.38
276,Sample_2,140.0,4.0,0,0,2,-1.62
277,Sample_2,140.0,4.0,0,0,2,-0.45
278,Sample_2,140.0,4.0,0,0,2,-0.975
279,Sample_2,140.0,4.0,0,0,2,-1.075
280,Sample_2,140.0,4.0,0,0,2,-0.6
281,Sample_2,140.0,4.0,0,0,2,-9.5
282,Sample_2,140.0,4.0,0,0,2,-3.525
444,Sample_3,90.0,8.0,0,0,2,-1.9
445,Sample_3,90.0,8.0,0,0,2,-1.8
446,Sample_3,90.0,8.0,0,0,2,-4.7
447,Sample_3,90.0,8.0,0,0,2,-2.5
448,Sample_3,90.0,8.0,0,0,2,-9.6
449,Sample_3,90.0,8.0,0,0,2,-2.35
450,Sample_3,90.0,8.0,0,0,2,-2.75
451,Sample_3,90.0,8.0,0,0,2,-2.15
452,Sample_3,90.0,8.0,0,0,2,-1.62
453,Sample_3,90.0,8.0,0,0,2,-1.65
454,Sample_3,90.0,8.0,0,0,2,-1.875
455,Sample_3,90.0,8.0,0,0,2,-1.375
456,Sample_3,90.0,8.0,0,0,2,-2.075
457,Sample_3,90.0,8.0,0,0,2,-1.525
458,Sample_3,90.0,8.0,0,0,2,-5.875
459,Sample_3,90.0,8.0,0,0,2,-2.1
460,Sample_3,90.0,8.0,0,0,2,-1.5
461,Sample_3,90.0,8.0,0,0,2,-6.075
462,Sample_3,90.0,8.0,0,0,2,-1.1
463,Sample_3,90.0,8.0,0,0,2,-8.4
464,Sample_3,90.0,8.0,0,0,2,-4.65
465,Sample_3,90.0,8.0,0,0,2,-0.825
466,Sample_3,90.0,8.0,0,0,2,-5.5
467,Sample_3,90.0,8.0,0,0,2,-2.125
468,Sample_3,90.0,8.0,0,0,2,-2.375
469,Sample_3,90.0,8.0,0,0,2,-4.85
470,Sample_3,90.0,8.0,0,0,2,-3.875
471,Sample_3,90.0,8.0,0,0,2,-4.075
472,Sample_3,90.0,8.0,0,0,2,-6.025
473,Sample_3,90.0,8.0,0,0,2,-7.8
474,Sample_3,90.0,8.0,0,0,2,-5.2
475,Sample_3,90.0,8.0,0,0,2,-2.75
476,Sample_3,90.0,8.0,0,0,2,-7.87
477,Sample_3,90.0,8.0,0,0,2,-1.32
478,Sample_3,90.0,8.0,0,0,2,-1.2
479,Sample_3,90.0,8.0,0,0,2,-2.72
480,Sample_3,90.0,8.0,0,0,2,-1.7
481,Sample_3,90.0,8.0,0,0,2,-2.07
482,Sample_3,90.0,8.0,0,0,2,-1.42
483,Sample_3,90.0,8.0,0,0,2,-3.12
484,Sample_3,90.0,8.0,0,0,2,-1.92
485,Sample_3,90.0,8.0,0,0,2,-3.7
486,Sample_3,90.0,8.0,0,0,2,-1.17
487,Sample_3,90.0,8.0,0,0,2,-1.07
488,Sample_3,90.0,8.0,0,0,2,-1.6
489,Sample_3,90.0,8.0,0,0,2,-0.5
490,Sample_3,90.0,8.0,0,0,2,-3.92
491,Sample_3,90.0,8.0,0,0,2,-2.85
492,Sample_3,90.0,8.0,0,0,2,-2.07
493,Sample_3,90.0,8.0,0,0,2,-2.3
494,Sample_3,90.0,8.0,0,0,2,-0.2
495,Sample_3,90.0,8.0,0,0,2,-4.9
496,Sample_3,90.0,8.0,0,0,2,-8.47
497,Sample_3,90.0,8.0,0,0,2,-3.07
498,Sample_3,90.0,8.0,0,0,2,-1.92
499,Sample_3,90.0,8.0,0,0,2,-2.8
666,Sample_4,140.0,2.0,0,1,2,-1.05
667,Sample_4,140.0,2.0,0,1,2,-2.0
668,Sample_4,140.0,2.0,0,1,2,-4.5
669,Sample_4,140.0,2.0,0,1,2,-1.3
670,Sample_4,140.0,2.0,0,1,2,-5.7
671,Sample_4,140.0,2.0,0,1,2,-0.55
672,Sample_4,140.0,2.0,0,1,2,-2.22
673,Sample_4,140.0,2.0,0,1,2,-1.15
674,Sample_4,140.0,2.0,0,1,2,-4.35
675,Sample_4,140.0,2.0,0,1,2,-1.85
676,Sample_4,140.0,2.0,0,1,2,-3.02
677,Sample_4,140.0,2.0,0,1,2,-4.4
678,Sample_4,140.0,2.0,0,1,2,-4.6
679,Sample_4,140.0,2.0,0,1,2,3.125
680,Sample_4,140.0,2.0,0,1,2,-1.95
681,Sample_4,140.0,2.0,0,1,2,-2.35
682,Sample_4,140.0,2.0,0,1,2,-1.4
683,Sample_4,140.0,2.0,0,1,2,-1.17
684,Sample_4,140.0,2.0,0,1,2,-1.25
685,Sample_4,140.0,2.0,0,1,2,-2.07
686,Sample_4,140.0,2.0,0,1,2,-2.22
687,Sample_4,140.0,2.0,0,1,2,-4.5
688,Sample_4,140.0,2.0,0,1,2,-1.8
689,Sample_4,140.0,2.0,0,1,2,-6.87
690,Sample_4,140.0,2.0,0,1,2,-0.925
691,Sample_4,140.0,2.0,0,1,2,-0.675
692,Sample_4,140.0,2.0,0,1,2,-0.65
693,Sample_4,140.0,2.0,0,1,2,-0.625
694,Sample_4,140.0,2.0,0,1,2,-0.575
695,Sample_4,140.0,2.0,0,1,2,-1.45
696,Sample_4,140.0,2.0,0,1,2,-3.475
697,Sample_4,140.0,2.0,0,1,2,-2.375
698,Sample_4,140.0,2.0,0,1,2,-3.35
699,Sample_4,140.0,2.0,0,1,2,-0.625
700,Sample_4,140.0,2.0,0,1,2,-0.65
701,Sample_4,140.0,2.0,0,1,2,-0.375
702,Sample_4,140.0,2.0,0,1,2,-1.575
703,Sample_4,140.0,2.0,0,1,2,-0.4
704,Sample_4,140.0,2.0,0,1,2,-0.275
705,Sample_4,140.0,2.0,0,1,2,-3.925
706,Sample_4,140.0,2.0,0,1,2,-0.45
707,Sample_4,140.0,2.0,0,1,2,-0.425
708,Sample_4,140.0,2.0,0,1,2,-0.75
709,Sample_4,140.0,2.0,0,1,2,-0.95
710,Sample_4,140.0,2.0,0,1,2,-0.325
711,Sample_4,140.0,2.0,0,1,2,-0.375
712,Sample_4,140.0,2.0,0,1,2,-0.95
713,Sample_4,140.0,2.0,0,1,2,-0.75
714,Sample_4,140.0,2.0,0,1,2,-0.7
715,Sample_4,140.0,2.0,0,1,2,-1.55
716,Sample_4,140.0,2.0,0,1,2,-1.875
717,Sample_4,140.0,2.0,0,1,2,-0.25
718,Sample_4,140.0,2.0,0,1,2,-0.55
719,Sample_4,140.0,2.0,0,1,2,-0.55
720,Sample_4,140.0,2.0,0,1,2,-0.575
721,Sample_4,140.0,2.0,0,1,2,-0.075
722,Sample_4,140.0,2.0,0,1,2,-0.55
723,Sample_4,140.0,2.0,0,1,2,-0.525
724,Sample_4,140.0,2.0,0,1,2,-0.8
725,Sample_4,140.0,2.0,0,1,2,-0.75
726,Sample_4,140.0,2.0,0,1,2,-0.625
727,Sample_4,140.0,2.0,0,1,2,-0.6
728,Sample_4,140.0,2.0,0,1,2,-0.525
729,Sample_4,140.0,2.0,0,1,2,-0.6
